id,Page,Removed,Pageviews,Unique Pageviews,Avg. Time on Page,Entrances,Bounce Rate,% Exit,Page Value,Name,locality,city,golden,rent,status,tag_as,siteVisitCount
191,/property/191,,1,1,0:00:00,0,0.00%,100.00%,$0.00 ,Fortune House 1 bhk,Kharadi,pune,0,16000,blocked,marketplace,0
195,/property/195,,61,58,0:00:32,15,80.00%,34.43%,$0.00 ,Fortune House,Kharadi,pune,0,16000,blocked,marketplace,0
102,/property/102,,15,14,0:00:27,1,0.00%,20.00%,$0.00 ,"Adarsh Palm Retreat, T 7",Bellandur,bengaluru,0,53700,blocked,marketplace,0
142,/property/142,,479,178,0:00:01,41,0.00%,5.22%,$0.00 ,Amanora Aspire Tower7,Amanora,pune,0,40000,blocked,marketplace,0
197,/property/197,,20,20,0:00:10,10,50.00%,40.00%,$0.00 ,Fortune House 2 bhk,Kharadi,pune,0,22000,blocked,marketplace,0
212,/property/212,,22,22,0:00:59,0,0.00%,18.18%,$0.00 ,Park Infinia,Phurusngi,pune,0,21000,blocked,marketplace,0
211,/property/211,,6,6,0:01:06,0,0.00%,0.00%,$0.00 ,Beryl,Kharadi,pune,0,0,available,marketplace,0
189,/property/189,,1,1,0:05:57,0,0.00%,0.00%,$0.00 ,Sylvania,Magarpatta,pune,0,47000,available,marketplace,0
172,/property/172,,12,10,0:02:14,0,0.00%,25.00%,$0.00 ,Omega Paradise I-702,Wakad,pune,0,42000,occupied,marketplace,0
228,/property/228,,147,136,0:00:55,12,66.67%,20.41%,$0.00 ,Royal residency layout 105,Akshay Nagar,bengaluru,0,29000,available,marketplace,0
213,/property/213,,38,36,0:00:52,0,0.00%,21.05%,$0.00 ,Fortune House 2bhk,Kharadi,pune,0,30000,partial,marketplace,0
232,/property/232,,8,8,0:00:16,1,100.00%,12.50%,$0.00 ,JP Nagar Building No.408 GF,Jp Nagar 4th Phase,bengaluru,0,15000,occupied,marketplace,0
235,/property/235,,92,90,0:00:38,7,100.00%,21.74%,$0.00 ,JP Nagar Building No.408 2F,Jp Nagar 4th Phase,bengaluru,0,22000,partial,marketplace,0
236,/property/236,,38,38,0:03:35,4,100.00%,39.47%,$0.00 ,JP Nagar Building No.408 3F,Jp Nagar 4th Phase,bengaluru,0,22000,occupied,marketplace,0
240,/property/240,,84,78,0:02:41,31,80.65%,46.43%,$0.00 ,Sri Tirumala Sarovar K02,Singasandra,bengaluru,0,34400,available,marketplace,0
241,/property/241,,233,227,0:03:34,137,92.70%,67.81%,$0.00 ,Sri Tirumala Sarovar K106,Singasandra,bengaluru,0,30100,partial,marketplace,0
244,/property/244,,23,23,0:01:18,3,33.33%,17.39%,$0.00 ,Bhartiya City 30713,thanisandra,bengaluru,0,25500,occupied,marketplace,0
245,/property/245,,17,17,0:00:27,5,100.00%,41.18%,$0.00 ,Purva Panorama,Bannerghatta,bengaluru,0,23500,occupied,managed,0
246,/property/246,,126,50,0:00:02,29,6.90%,7.14%,$0.00 ,Godrej Woodsman Estate,Hebbal,bengaluru,0,47000,blocked,marketplace,0
247,/property/247,,70,65,0:01:54,40,82.50%,57.14%,$0.00 ,Unicca Emporis,Varthur,bengaluru,0,27000,occupied,marketplace,0
248,/property/248,,78,74,0:00:49,8,50.00%,20.51%,$0.00 ,WASAN SPRING,Behind Inorbit mall,pune,0,21000,occupied,managed,0
250,/property/250,,1,1,0:00:00,0,0.00%,0.00%,$0.00 ,Savanna,Wagholi,pune,0,14000,blocked,marketplace,0
251,/property/251,,8,1,0:00:00,0,0.00%,0.00%,$0.00 ,House of Hiranandhani,Devanahalli,bengaluru,0,20000,blocked,marketplace,0
252,/property/252,,5,5,<00:00:01,1,0.00%,0.00%,$0.00 ,Citadel Enclave,B.T Kawde road,pune,0,19000,blocked,marketplace,0
253,/property/253,,1,1,0:00:00,1,0.00%,0.00%,$0.00 ,Guru Datta Hsg. Society,Kharadi,pune,0,22000,blocked,marketplace,0
254,/property/254,,5,5,0:00:26,3,0.00%,0.00%,$0.00 ,Sarthak Keshav Society,Wagholi,pune,0,9000,blocked,marketplace,0
256,/property/256,,6,6,0:00:00,3,0.00%,16.67%,$0.00 ,Palm Groves,B.T Kawde road,pune,0,40000,blocked,marketplace,0
2,/property/2,,1,1,0:00:00,0,0.00%,100.00%,$0.00 ,"SV Mayfair, Nallurahalli Main Rd blocked",Whitefield,bengaluru,0,12000,blocked,managed,0
