id,owner_id,name,flat_no,addressl1,locality,city,state,country,zipcode,sqftsuper,image,images,type,sharetype,baths,kitchens,washrooms,totalrooms,availrooms,rent,owner_rent,parkingcharges,deposite,maintenance,status,availfrom,availto,tenure,details,notes,cntrestaurants,cnthospitals,cntgyms,cnttheater,cntmalls,workdistance,latitude,longitude,blockname,gender,tag_as,commpercentage,tds,actualOSAmount,pendingOSAmount,amountRemark,minimumGuranteeIsActive,minimumGuranteeAmount,minimumGuranteeStart,minimumGuranteeEnd,propertyrules,parking_number,metatitle,metakeyword,metadescription,assign_to,golden,partner,showinhomepage,created_at,updated_at,owner_id2,owner_id3
11,773,"Sandeep Vihar C12, Kannamangala",604,"#604, C12, AWHO Sandeep Vihar, Whitefield-Hoskote Rd, Kannamangala, Whitefield",Whitefield,bengaluru,karnataka,india,560067,2400,0,,flat,0,3,1,0,4,0,40600,,1500,121800,0,blocked,2016-05-01,2017-07-11,6,"Our rooms at Sandeep Vihar, centrally located in Whitefield are cosy,well lit and tastefully furnished. The close proximity of tech parks like ITPL and EPIP, MNCs like SAP, Tesco, Oracle,HLL,GE and TCS and malls like the Forum value mall and Phoenix market city make these plush gated community apartments, very sought after for the urban youth. The apartment complex has swimming pool, Gymnasium, Club House and a tennis and badminton. With theatres, art galleries, glitzy malls and restaurants galore, Whitefield today is one of the most happening locations in Bangalore.Extensive city connectivity by BMTC and the presence of several tech parks and MNCs have added to the allure of this place.",,20,8,12,2,8,0,13.020816,77.761856,C12,1,managed,,,,,,notactive,,,,,,,,,,0,0,0,2016-4-21 4:00,2019-7-6 0:10,,
13,773,"Sandeep Vihar C11, Kannamangala",104,"C11, AWHO Sandeep Vihar, Whitefield-Hoskote Rd, Kannamangala, Whitefield",Whitefield,bengaluru,karnataka,india,560067,2400,0,,flat,0,3,1,0,4,0,40600,,1500,121800,0,blocked,2016-05-01,2017-07-11,6,"Our rooms at Sandeep Vihar, centrally located in Whitefield are cosy,well lit and tastefully furnished. The close proximity of tech parks like ITPL and EPIP, MNCs like SAP, Tesco, Oracle,HLL,GE and TCS and malls like the Forum value mall and Phoenix market city make these plush gated community apartments, very sought after for the urban youth. The apartment complex has swimming pool, Gymnasium, Club House and a tennis and badminton. With theatres, art galleries, glitzy malls and restaurants galore, Whitefield today is one of the most happening locations in Bangalore.Extensive city connectivity by BMTC and the presence of several tech parks and MNCs have added to the allure of this place.",,20,8,12,2,8,0,13.020816,77.761856,C11,2,managed,,,,,,notactive,,,,,,,,,,0,0,0,2016-4-21 4:00,2019-7-6 0:10,,
17,120,"J S Harmony, Hoysala Nagar",101,"3rd Main Rd, Hoyasalanagar, Near Ganesha Temple, Opposite Narayana e-techno School",Horamavu,bengaluru,karnataka,india,560045,1000,0,,flat,0,2,1,2,2,0,40000,,1500,120000,0,blocked,2016-06-01,2017-06-01,11,NA,,20,20,20,1,20,3,13.020175,77.66657,A,1,managed,,,,,,notactive,,,,,,,,,,0,0,0,2016-6-24 17:28,2018-10-22 0:10,,
18,351,"Sandeep Vihar D15, Kannamangala",1303,"AWHO Sandeep Vihar, Whitefield-Hoskote Rd, Kannamangala",Whitefield,bengaluru,karnataka,india,560067,2400,0,,flat,0,4,1,4,4,4,24000,23000,1500,144000,0,blocked,2016-08-01,2017-08-01,6,"Our Apartment in Sandeep Vihar, centrally located in Whitefield are cosy,well lit and tastefully furnished. The close proximity of tech parks like ITPL and EPIP, MNCs like SAP, Tesco, Oracle,HLL,GE and TCS and malls like the Forum value mall and Phoenix market city make these plush gated community apartments, very sought after for the urban youth. The apartment complex has swimming pool, Gymnasium, Club House and a tennis and badminton. With theatres, art galleries, glitzy malls and restaurants galore, Whitefield today is one of the most happening locations in Bangalore.Extensive city connectivity by BMTC and the presence of several tech parks and MNCs have added to the allure of this place.",,20,8,12,2,8,3,13.020816,77.761856,D15,0,marketplace,0,0,0,0,,notactive,0,1970-01-01,1970-01-01,,,,,,,0,0,0,2016-7-1 13:45,2019-7-6 0:10,,
20,1058,Electronic city (Concorde Sylvan View),42,"Ramasagar Village, Near Gold Coin Club, Electronic City Post. Sigena Agrena",Electronic City,bengaluru,karnataka,india,560099,2050,0,,villa,0,3,1,3,3,3,20000,18000,0,60000,0,blocked,2016-07-10,2017-07-10,6,"Sylvan View villas are independent designer villas spreading across 12 acres of land. All the houses are constructed in vastu-compliant designs built amidst open spaces, landscaped gardens and tree-lined avenues.",,4,0,1,0,3,0,12.830007,77.708026,Concorde Sylvan View,0,marketplace,0,0,0,0,,notactive,0,1970-01-01,1970-01-01,,,,,,,0,0,0,2016-7-9 4:40,2019-7-17 0:10,,
21,120,"Kandivali (Kalpataru Gardens, 11th Floor)",2C11,"Phase 2, Rd Number 3, Off Ashok Chakarvarty Road, Ashok Nagar, Kandivali East","Ashok Nagar, Kandivali East",pune,maharashtra,india,400101,1100,0,,flat,0,2,1,2,2,2,49800,,,298800,0,blocked,2016-07-01,2017-07-01,6,"Kalpataru Gardens is located in Kandivali East, an up market suburb that has every facility essential to a modern lifestyle- malls, multiplexes, schools etc. Well connected and high on convenience as the main arterial roads- S.V.Road and the W.E.Highway, are easily accessible.  Kalpataru Gardens is situated just 1 km from Kandivali Station and the W.E.Highway, close to Raghuleela Mall and Fame Adlabs.",,20,20,20,8,20,0,19.198124,72.854266,Kalpataru Gardens,0,managed,,,,,,notactive,,,,,,,,,,0,0,0,2016-7-11 14:23,2019-6-29 0:10,,
22,120,Concorde Manhattan,,"Neeladri Road, Opposite to Wipro Gate No. 4, Electronic City Pahse-1",Electronic City,bengaluru,Karnataka,INDIA,560100,1609,0,,flat,0,0,0,0,3,3,0,,,0,0,blocked,2016-07-11,2017-06-11,0,,Family preferred. ,0,0,0,0,0,0,,,Greenwich D Block,0,managed,,,,,,notactive,,,,,,,,,,0,0,0,2016-7-11 21:39,2016-7-11 21:39,,
23,804,"Springfields H Block, Sarjapur Road",803,"19/20 Ambalipura, Near Bellandur Gate, Sarjapur Main Road",Sarjapur Main Road,bengaluru,karnataka,india,560102,1920,0,,flat,0,3,1,3,3,0,69700,,1500,697000,0,blocked,2016-07-14,2017-07-14,6,,,20,20,20,0,20,0,12.918245,77.66948,H,1,marketplace,,,,,,notactive,,,,,,,,,,0,0,0,2016-7-14 20:37,2018-9-22 0:10,,
25,800,NR Springwoods,#401,"115, Dr. Shivaramkaranth Nagar, Sri Balaji Krupa Layout, RK Hegde Nagar",Manyata Tech Park,bengaluru,karnataka,india,560077,2050,0,,flat,0,3,1,3,3,1,23031,23031,0,58500,4464,occupied,2018-06-02,2020-04-01,11,"NR Springwoods is one of the popular residential projects in Telecom Layout, Bangalore. This project offers thoughtfully constructed apartments with modern amenities for the comfort of residents. Adding to this, it is situated close to the market, hospital and various educational institutions.",,20,20,7,0,17,0,13.066772,77.625197,NR Springwoods,1,managed,0,10,0,0,,notactive,0,1970-01-01,1970-01-01,,,,,,,0,0,0,2016-7-21 1:51,2019-7-26 0:10,,
26,772,Vars Jacaranda,309,"Fern City Road,Doddenakundi",Mahadevapura,bengaluru,karnataka,india,560048,1570,0,,flat,0,2,1,2,3,3,32414,32414,0,84000,0,available,2017-07-15,2020-04-15,11,"Mahadevapura is a centrally located bustling suburb of Bangalore today just off Marathalli junction. It’s close proximity to HAL Airport, Whitefield and Sarjapur Road  and the presence of the Outer Ring Road, has resulted in this area being transformed into a self-sufficient township with a number of residential complexes and IT companies making their appearance. Vars Jacaranda is one such conveniently located apartment complex with all amenities, close to places like the EMC Corporation, Mphasis IronMountain and Bagmane World Technology Centre. Our bright and cheerful apartments in this complex are made more attractive with elegant furnishings, fittings and appliances.",,20,12,16,2,19,0,12.978776,77.696805,A,1,managed,0,10,0,0,,notactive,0,1970-01-01,1970-01-01,,,,,,,0,0,0,2016-7-21 20:55,2019-7-18 0:10,,
