id,name,property_id,sqftsuper,image,images,type,sharetype,rent,parkingcharges,deposite,maintenance,status,availablebed,totalbed,availfrom,availto,windowstyle,iswindowmesh,details,parking_number,created_at,updated_at,tenure,windows,plugpoints,lights,tubelights,fans,showbulbs,balconylights,commpercentage,tds
192,"Room 2",72,100,0,0,shared,0,9000,0,27000,0,available,2,2,2017-03-01,2018-02-01,normal,no,,,"2017-03-01 12:58:16","2017-03-01 12:58:16",3,0,0,0,0,0,0,0,0.00,NULL
193,"Room 3",72,100,0,0,shared,0,10000,0,30000,0,available,2,2,2017-03-01,2018-02-01,normal,no,,,"2017-03-01 12:58:16","2017-03-01 12:58:16",3,0,0,0,0,0,0,0,0.00,NULL
194,"Room 1",73,100,0,0,shared,0,8000,0,24000,0,available,2,2,2017-03-01,2018-02-01,normal,no,,,"2017-03-01 12:58:16","2017-03-01 12:58:16",3,0,0,0,0,0,0,0,0.00,NULL
195,"Room 2",73,100,0,0,shared,0,9000,0,27000,0,available,2,2,2017-03-01,2018-02-01,normal,no,,,"2017-03-01 12:58:16","2017-03-01 12:58:16",3,0,0,0,0,0,0,0,0.00,NULL
196,"Room 3",73,100,0,0,shared,0,10000,0,30000,0,available,2,2,2017-03-01,2018-02-01,normal,no,,,"2017-03-01 12:58:16","2017-03-01 12:58:16",3,0,0,0,0,0,0,0,0.00,NULL
197,"Room 1",74,100,0,0,shared,0,8000,0,24000,0,available,2,2,2017-03-01,2018-02-01,normal,no,,,"2017-03-01 12:58:16","2017-03-01 12:58:16",3,0,0,0,0,0,0,0,0.00,NULL
198,"Room 2",74,100,0,0,shared,0,9000,0,27000,0,available,2,2,2017-03-01,2018-02-01,normal,no,,,"2017-03-01 12:58:16","2017-03-01 12:58:16",3,0,0,0,0,0,0,0,0.00,NULL
199,"Room 3",74,100,0,0,shared,0,10000,0,30000,0,available,2,2,2017-03-01,2018-02-01,normal,no,,,"2017-03-01 12:58:16","2017-03-01 12:58:16",3,0,0,0,0,0,0,0,0.00,NULL
200,"Room 1",75,100,0,0,shared,0,8000,0,24000,0,available,2,2,2017-03-01,2018-02-01,normal,no,,,"2017-03-01 12:58:16","2017-03-01 12:58:16",3,0,0,0,0,0,0,0,0.00,NULL
201,"Room 2",75,100,0,0,shared,0,9000,0,27000,0,available,2,2,2017-03-01,2018-02-01,normal,no,,,"2017-03-01 12:58:16","2017-03-01 12:58:16",3,0,0,0,0,0,0,0,0.00,NULL
202,"Room 3",75,100,0,0,shared,0,10000,0,30000,0,available,2,2,2017-03-01,2018-02-01,normal,no,,,"2017-03-01 12:58:16","2017-03-01 12:58:16",3,0,0,0,0,0,0,0,0.00,NULL
203,ROOM1,76,180,0,,single,0,13900,0,41700,0,available,1,1,2017-10-01,2018-03-01,normal,no,,NULL,"2017-03-01 17:09:38","2017-09-16 12:04:25",6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,NULL
204,ROOM2,76,180,0,,single,0,15900,0,47700,0,available,1,1,2017-10-01,2018-03-01,normal,no,,NULL,"2017-03-01 17:11:35","2017-09-16 12:04:25",6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,NULL
205,ROOM3,76,144,0,,single,0,13900,0,41700,0,available,1,1,2017-10-01,2018-03-01,normal,no,,NULL,"2017-03-01 17:14:20","2017-09-16 12:04:25",6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,NULL
206,"Room 1",77,80,0,0,single,0,11000,0,22000,0,available,1,1,2017-03-07,2018-02-07,normal,no,,1,"2017-03-07 15:55:24","2017-03-07 15:55:24",11,0,4,2,0,1,0,0,0.00,NULL
207,"Room 2",77,140,0,0,shared,0,7500,0,15000,0,available,2,2,2017-03-07,2018-02-07,normal,no,,2,"2017-03-07 15:55:24","2017-03-07 15:55:24",11,1,4,4,0,1,0,0,0.00,NULL
208,"Room 3",77,140,0,0,shared,0,7500,0,15000,0,available,2,2,2017-03-07,2018-02-07,normal,no,,4,"2017-03-07 15:55:24","2017-03-07 15:55:24",11,1,4,0,0,1,0,0,0.00,NULL
212,"ROOM 1",79,216,0,0,shared,0,16000,0,48000,0,available,2,2,2017-03-20,2018-02-20,normal,no,,0,"2017-03-20 17:03:00","2017-03-20 17:03:00",6,2,3,2,1,1,0,0,0.00,NULL
213,"ROOM 2",79,140,0,0,single,0,15000,0,45000,0,available,1,1,2017-03-20,2018-02-20,normal,no,,0,"2017-03-20 17:03:00","2017-03-20 17:03:00",6,3,2,1,0,1,1,0,0.00,NULL
214,"ROOM 3",79,120,0,0,single,0,13000,0,39000,0,available,1,1,2017-03-18,2018-02-18,normal,no,,0,"2017-03-20 17:03:00","2017-03-20 17:03:00",6,1,3,3,0,1,4,2,0.00,NULL
215,"Room 4",79,140,0,0,single,0,14000,0,42000,0,available,1,1,2017-03-20,2018-02-20,normal,no,,,"2017-03-20 17:03:00","2017-03-20 17:03:00",6,0,3,0,1,1,0,0,0.00,NULL
216,"Room 1",80,140,0,0,shared,0,7900,750,23700,0,occupied,0,1,2017-04-01,2018-03-01,normal,yes,"Shared Room with a an attached bathroom & balcony",,"2017-03-23 16:47:48","2017-05-31 23:18:57",6,1,3,0,1,2,0,0,0.00,NULL
217,"Room 2",80,140,0,0,single,0,13900,750,41700,0,occupied,0,1,2017-04-01,2018-03-01,normal,yes,"Shared Room with a dedicated bathroom",,"2017-03-23 16:47:48","2017-05-31 23:18:57",6,1,3,0,1,1,0,0,0.00,NULL
218,ROOM1,81,185,0,0,single,0,13900,750,41700,0,occupied,0,1,2017-04-01,2018-03-01,normal,no,,0,"2017-03-23 18:32:15","2018-06-09 17:56:10",6,1,1,2,0,1,0,0,0.00,0.00
219,ROOM2,81,132,0,0,single,0,15900,750,47700,0,occupied,0,1,2017-04-01,2018-03-01,normal,no,,0,"2017-03-23 18:32:15","2018-06-09 17:56:10",6,1,2,1,1,1,0,1,0.00,0.00
220,ROOM3,81,210,0,0,single,0,16900,750,50700,0,occupied,0,2,2017-04-01,2018-03-01,french,no,,0,"2017-03-23 18:32:15","2018-06-09 17:56:11",6,1,3,1,1,1,0,0,0.00,0.00
221,ROOM1,83,140,0,0,single,0,11900,0,35700,0,available,1,1,2017-04-11,2018-03-11,normal,yes,,0,"2017-04-08 21:19:48","2017-04-08 21:19:48",6,1,2,1,0,1,0,1,0.00,NULL
222,ROOM1,85,120,0,0,single,0,16900,750,47700,0,occupied,0,2,2017-04-20,2018-03-20,french,yes,,0,"2017-04-12 19:13:15","2018-05-22 17:12:56",6,1,4,0,0,0,0,0,0.00,0.00
223,ROOM2,85,140,0,0,single,0,18900,750,56700,0,occupied,0,1,2017-04-20,2018-03-20,french,yes,,0,"2017-04-12 19:13:15","2018-05-22 17:12:56",6,1,3,0,0,0,0,0,0.00,0.00
224,ROOM3,85,144,0,0,single,0,16900,750,50700,0,occupied,0,1,2017-04-20,2018-03-20,french,yes,,0,"2017-04-12 19:13:15","2018-05-22 17:12:57",6,2,4,0,0,0,0,0,0.00,0.00
225,ROOM1,86,100,0,0,single,0,10900,750,32700,0,available,1,1,2017-03-18,2018-02-18,french,no,,0,"2017-04-12 20:09:35","2017-04-12 20:09:35",6,1,2,0,1,1,0,0,0.00,NULL
226,ROOM2,86,165,0,0,shared,0,8900,750,53400,0,available,2,2,2017-05-15,2018-04-15,french,no,,0,"2017-04-12 20:09:35","2017-04-12 20:09:35",6,1,2,1,1,1,0,1,0.00,NULL
227,ROOM1,87,80,0,0,single,0,20900,0,62700,500,available,2,1,2017-04-15,2018-03-15,normal,yes,,,"2017-04-12 20:21:41","2017-08-07 05:03:08",6,1,1,1,1,1,0,0,0.00,NULL
228,"Room 1",88,130,0,0,single,0,13900,750,41700,0,occupied,0,1,2017-11-06,2018-03-25,normal,yes,"Master Bedroom with attached washroom and balcony",,"2017-04-16 20:57:16","2018-01-10 11:44:54",6,1,2,1,1,1,1,1,0.00,NULL
229,"Room 2",88,90,0,0,single,0,12900,750,38700,0,occupied,0,1,2017-04-25,2018-03-25,normal,yes,"Single Room with common bathroom",,"2017-04-16 20:57:16","2017-10-20 11:57:31",6,1,2,1,1,1,0,0,0.00,NULL
230,"Room 3",88,120,0,0,single,0,13900,0,41700,0,occupied,0,1,2017-04-25,2018-03-25,normal,yes,"Single Room with attached bathroom and balcony",,"2017-04-16 20:57:16","2017-10-20 11:57:31",6,1,4,0,1,1,1,1,0.00,NULL
231,ROOM1,89,146,0,0,single,0,15900,750,47700,0,occupied,0,1,2017-05-01,2018-04-01,french,no,,0,"2017-04-20 13:56:03","2017-05-17 03:15:25",6,2,4,0,0,0,0,0,0.00,NULL
