id,name,objecttype,primaryid,path,url,size,created_at,updated_at
1713,"t satya sumanth.jpeg",user,237,/home/yorprod/siteapi/public/uploadtemp/2016/09/30/med_57ee3feb12e49.jpeg,https://api.yourownroom.com/uploadtemp/2016/09/30/med_57ee3feb12e49.jpeg,med,"2016-09-30 20:05:23","2016-09-30 20:05:23"
1714,"t satya sumanth.jpeg",user,237,/home/yorprod/siteapi/public/uploadtemp/2016/09/30/thb_57ee3feb12e49.jpeg,https://api.yourownroom.com/uploadtemp/2016/09/30/thb_57ee3feb12e49.jpeg,thb,"2016-09-30 20:05:23","2016-09-30 20:05:23"
1715,"t satya sumanth.jpeg",user,237,/home/yorprod/siteapi/public/uploadtemp/2016/09/30/icn_57ee3feb12e49.jpeg,https://api.yourownroom.com/uploadtemp/2016/09/30/icn_57ee3feb12e49.jpeg,icn,"2016-09-30 20:05:23","2016-09-30 20:05:23"
1716,"Purby Lohia.jpeg",user,246,/home/yorprod/siteapi/public/uploadtemp/2016/09/30/org_57ee410389321.jpeg,https://api.yourownroom.com/uploadtemp/2016/09/30/org_57ee410389321.jpeg,org,"2016-09-30 20:10:03","2016-09-30 20:10:03"
1717,"Purby Lohia.jpeg",user,246,/home/yorprod/siteapi/public/uploadtemp/2016/09/30/big_57ee410389321.jpeg,https://api.yourownroom.com/uploadtemp/2016/09/30/big_57ee410389321.jpeg,big,"2016-09-30 20:10:03","2016-09-30 20:10:03"
1718,"Purby Lohia.jpeg",user,246,/home/yorprod/siteapi/public/uploadtemp/2016/09/30/med_57ee410389321.jpeg,https://api.yourownroom.com/uploadtemp/2016/09/30/med_57ee410389321.jpeg,med,"2016-09-30 20:10:03","2016-09-30 20:10:03"
1719,"Purby Lohia.jpeg",user,246,/home/yorprod/siteapi/public/uploadtemp/2016/09/30/thb_57ee410389321.jpeg,https://api.yourownroom.com/uploadtemp/2016/09/30/thb_57ee410389321.jpeg,thb,"2016-09-30 20:10:03","2016-09-30 20:10:03"
1720,"Purby Lohia.jpeg",user,246,/home/yorprod/siteapi/public/uploadtemp/2016/09/30/icn_57ee410389321.jpeg,https://api.yourownroom.com/uploadtemp/2016/09/30/icn_57ee410389321.jpeg,icn,"2016-09-30 20:10:03","2016-09-30 20:10:03"
1721,Shruti.jpeg,user,251,/home/yorprod/siteapi/public/uploadtemp/2016/09/30/org_57ee41e023aeb.jpeg,https://api.yourownroom.com/uploadtemp/2016/09/30/org_57ee41e023aeb.jpeg,org,"2016-09-30 20:13:44","2016-09-30 20:13:44"
1722,Shruti.jpeg,user,251,/home/yorprod/siteapi/public/uploadtemp/2016/09/30/big_57ee41e023aeb.jpeg,https://api.yourownroom.com/uploadtemp/2016/09/30/big_57ee41e023aeb.jpeg,big,"2016-09-30 20:13:44","2016-09-30 20:13:44"
1723,Shruti.jpeg,user,251,/home/yorprod/siteapi/public/uploadtemp/2016/09/30/med_57ee41e023aeb.jpeg,https://api.yourownroom.com/uploadtemp/2016/09/30/med_57ee41e023aeb.jpeg,med,"2016-09-30 20:13:44","2016-09-30 20:13:44"
1724,Shruti.jpeg,user,251,/home/yorprod/siteapi/public/uploadtemp/2016/09/30/thb_57ee41e023aeb.jpeg,https://api.yourownroom.com/uploadtemp/2016/09/30/thb_57ee41e023aeb.jpeg,thb,"2016-09-30 20:13:44","2016-09-30 20:13:44"
1725,Shruti.jpeg,user,251,/home/yorprod/siteapi/public/uploadtemp/2016/09/30/icn_57ee41e023aeb.jpeg,https://api.yourownroom.com/uploadtemp/2016/09/30/icn_57ee41e023aeb.jpeg,icn,"2016-09-30 20:13:44","2016-09-30 20:13:44"
1726,Jyoti.jpeg,user,252,/home/yorprod/siteapi/public/uploadtemp/2016/09/30/org_57ee432b970dd.jpeg,https://api.yourownroom.com/uploadtemp/2016/09/30/org_57ee432b970dd.jpeg,org,"2016-09-30 20:19:15","2016-09-30 20:19:15"
1727,Jyoti.jpeg,user,252,/home/yorprod/siteapi/public/uploadtemp/2016/09/30/big_57ee432b970dd.jpeg,https://api.yourownroom.com/uploadtemp/2016/09/30/big_57ee432b970dd.jpeg,big,"2016-09-30 20:19:15","2016-09-30 20:19:15"
1728,Jyoti.jpeg,user,252,/home/yorprod/siteapi/public/uploadtemp/2016/09/30/med_57ee432b970dd.jpeg,https://api.yourownroom.com/uploadtemp/2016/09/30/med_57ee432b970dd.jpeg,med,"2016-09-30 20:19:15","2016-09-30 20:19:15"
